RegionID,RegionName,SizeRank,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01
,,,826,,,,,,,
,,,871,,,,,,,
,,,776,,,,,,,
,,,1085,,,,,,,
,,,1303,,,,,,,
,,,1648,,,,,,,
,,,801,,,,,,,
,,,2123,,,,,,,
,,,1037,,,,,,,
,,,818,,,,,,,
,,,850,,,,,,,
,,,818,,,,,,,
,,,1319,,,,,,,
,,,1071,,,,,,,
,,,1256,,,,,,,
,,,1057,,,,,,,
,,,854,,,,,,,
,,,1009,,,,,,,
,,,1182,,,,,,,
,,,1041,,,,,,,
,,,1530,,,,,,,
,,,1413,,,,,,,
,,,1496,,,,,,,
,,,814,,,,,,,
,,,810,,,,,,,
,,,817,,,,,,,
